,Video URL,Video Type,Selling Point,Hook Type,Price Range,Category,Price Range Labels
90,https://www.tiktok.com/@tartecosmetics/video/7307344051991301418,Show Face,Sell Why,Question,0,Beauty,Less than $50
91,https://www.tiktok.com/@swaggybackupp/video/7303558671072611615,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
92,https://www.tiktok.com/@stellarhealth/video/7303705015670017311,Faceless,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
93,https://www.tiktok.com/@wellnesswithlys/video/7297726130310761770,Show Face,Sell How To,Question,0,Beauty,Less than $50
94,https://www.tiktok.com/@pickledpeanutsh/video/7302997580684791070,Show Face,Sell Benefit,Review Feedback,0,Clothing,Less than $50
95,https://www.tiktok.com/@allure_fashion/video/7305586275824782623,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
96,https://www.tiktok.com/@danielleathena/video/7305026744233250094,Show Face,Sell Benefit,Review Feedback,50,Beauty,Between $50 and $100
97,https://www.tiktok.com/@katie.beaupre/video/7285560031083334943,Show Face,Sell Why,Question,50,Beauty,Between $50 and $100
98,https://www.tiktok.com/@ugcemilyo/video/7302139997648473390,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
99,https://www.tiktok.com/@makaela.renee/video/7302579135145053471,Show Face,Sell Why,Review Feedback,0,Clothing,Less than $50
100,https://www.tiktok.com/@sherri1223/video/7307682662582455598,Show Face,Sell How To,Review Feedback,0,Beauty,Less than $50
101,https://www.tiktok.com/@rachazzo/video/7301798161935256863,Show Face,Sell How To,Question,0,Clothing,Less than $50
102,https://www.tiktok.com/@margaret_kov/video/7302785318929927454,Show Face,Sell Why,Review Feedback,0,Beauty,Less than $50
103,https://www.tiktok.com/@allure_fashion/video/7300729943237872942,Show Face,Sell How To,Review Feedback,0,Clothing,Less than $50
104,https://www.tiktok.com/@metro.exe/video/7282916310223473966,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
105,https://www.tiktok.com/@thefamilyduckup/video/7293734259649563950,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
106,https://www.tiktok.com/@jesnerdingout/video/7304444835463777579,Faceless,Sell How To,Question,50,Home Appliances,Between $50 and $100
107,https://www.tiktok.com/@kymieann/video/7279865270733262122,Show Face,Sell Benefit,Question,0,Home Appliances,Less than $50
